State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Uttar Pradesh,"Autonomous State Medical College, Ayodhya (Faizabad)",Govt,NBEMS,2021,17,300
West Bengal,Bishnupur District Hospital,Govt,NBEMS,1976,1,250
Delhi,"Chacha Nehru Bal Chiktsalaya, Delhi",Govt,NBEMS,1979,0,221
Kerala,"Daya General Hospital, Thrissur",Private,NBEMS,2001,13,250
Chhattisgarh,"Ekta Institute of Child Health, Raipur",Private,NBEMS,2006,2,130
Tamil Nadu,"Devadoss Multi Speciality Hospital, Madurai",Private,NBEMS,1993,2,250
Karnataka,"District Hospital, Ballari",Govt,NBEMS,1996,24,210
Andhra Pradesh,"District Hospital, Machilipatnam",Govt,NBEMS,1967,6,320
West Bengal,"Dr. BC Roy Postgraduate Institute of Paediatric Sciences, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",2010,16,400
Arunachal Pradesh,"Bakin Pertin General Hospital & Training Centre, East Siang",Govt,NBEMS,2007,1,150
Tamil Nadu,"Apollo Hospital, Greams Lane, Chennai",Private,NBEMS,1983,37,745
Meghalaya,"Bethany Hospital, Shillong",Private,NBEMS,1987,4,200
West Bengal,"Deben Mahato (Sadar) Hospital, Purulia",Govt,NBEMS,0,0,548
Rajasthan,"Bhagwan Mahavir Cancer Hospital & Research Centre, Jaipur",Private,NBEMS,1997,11,300
Jammu & Kashmir,"166 Military Hospital, Jammu",AFMS,NBEMS,1970,4,0
Bihar,"Bhagwan Mahavir Institute of Medical Sciences (formerly VIMS), Pawapuri",Govt,"Aryabhatta Knowledge University, Patna",2013,26,600
West Bengal,"Deben Mahata Government Medical College & Hospital, Purulia",Govt,"West Bengal University of Health Sciences, Kolkata",2020,13,300
Jharkhand,"Bokaro General Hospital, Bokaro",Public Sector,NBEMS,1966,26,910
Telangana,"Citizens Specialty Hospital, Hyderabad",Private,NBEMS,2005,4,293
Tamil Nadu,"Coimbatore Childtrust Hospitals, Coimbatore",Private,NBEMS,1994,2,100
Kerala,"Amala Institute of Medical Sciences, Thrissur",Private,"Kerala University of Health Sciences, Thrissur",2002,62,1200
Odisha,"Capital Hospital, Bhubaneswar",Govt,NBEMS,1965,20,500
Jharkhand,"Central Institute of Psychiatry, Ranchi",Govt,"Ranchi University, Ranchi",1918,34,643
Madhya Pradesh,"CHL Hospital, Indore",Private,NBEMS,2001,3,200
Telangana,"Cygnus Institute of Gastroenterology, Hyderabad",Private,NBEMS,2012,0,100
West Bengal,"Bhagirathi Neotia Woman & Child Care Centre, New Town",Private,NBEMS,2002,3,108
Chhattisgarh,"Chandulal Chandrakar Memorial Hospital, Bhilai",Private,NBEMS,1975,2,105
Maharashtra,"Alliance Multispeciality Hospital, Ichalkaranji.",Private,NBEMS,2018,9,104
Maharashtra,"Anuradha Superspeciality Eye Hospital, Sangli",Private,NBEMS,2000,1,50
Rajasthan,"Apex Hospital, Jaipur",Private,NBEMS,1994,4,150
Kerala,"Chaithanya Eye Hospital, Trivandrum",Private,NBEMS,1995,6,37
Uttar Pradesh,"Chandan Hospital, Lucknow",Private,NBEMS,1988,13,203
Tamil Nadu,"Dharan Hospital, Salem",Private,NBEMS,2007,4,300
Uttar Pradesh,"District Women Hospital, Barabanki",Govt,NBEMS,0,2,0
Tamil Nadu,"Dr. Agarwals Eye Hospital & Research Centre, Chennai",Private,NBEMS,1957,6,100
West Bengal,"All India Institute of Hygiene & Public Health, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",1932,27,1500
Andhra Pradesh,"Area Hospital, Amalapuram",Govt,NBEMS,1976,4,150
Andhra Pradesh,"Area Hospital, Srikalahasthi, Chittoor",Govt,NBEMS,1976,4,150
Karnataka,"Aster RV Hospital, Bangalore",Private,NBEMS,2019,1,250
Tripura,"Atal Bihari Vajpayee Regional Cancer Center, Agartala",Govt,NBEMS,1980,0,200
Tamil Nadu,"Bhaarath Medical College & Hospital, Chennai",Deemed,"Bharath Institute of Higher Education & Research (Deemed), Chennai",2020,0,300
Gujarat,"Bharat Cancer Hospital & Research Institute, Surat",Private,NBEMS,2009,1,100
Maharashtra,"ACPM Medical College, Dhule",Private,"Maharashtra University of Health Sciences, Nashik",1990,37,725
Telangana,"Apollo Hospital, Secunderabad",Private,NBEMS,1988,2,450
Madhya Pradesh,"BHEL Kasturba Hospital, Bhopal",Public Sector,NBEMS,1966,2,231
Andhra Pradesh,"Area Hospital, Nagari",Govt,NBEMS,1989,4,120
Punjab,"Arora Eye Hospital & Retina Centre, Jalandhar",Private,NBEMS,1999,1,10
Rajasthan,"Alakh Nayan Mandir Institute of Ophthalmology, Udaipur",Private,NBEMS,1997,2,0
Kerala,"Almadeena Institute of Medical Science, Kottakkal",Private,NBEMS,2002,9,230
West Bengal,"AMRI Hospitals, Sarat Bose Road, Kolkata",Private,NBEMS,0,2,105
Haryana,"Civil Hospital, Ambala Cantt",Govt,NBEMS,1884,6,3090
Uttar Pradesh,"7 Air Force Hospital, Kanpur",AFMS,NBEMS,0,6,410
Delhi,"Action Cancer Hospital, New Delhi",Private,NBEMS,2010,2,130
West Bengal,"AMRI Hospital, Kolkata",Private,NBEMS,2001,0,214
West Bengal,"Balurghat DH & SSH, Dakshin Dinajpur",Govt,NBEMS,1970,2,500
Maharashtra,"College of Physicians & Surgeons, Mumbai",Private,"CPS, Mumbai",1912,0,0
Karnataka,"Adarsha Hospital, Udupi",Private,NBEMS,2005,7,200
Maharashtra,"BJ Government. Medical College, Pune",Govt,"Maharashtra University of Health Sciences, Nashik",1964,213,1450
Haryana,"Accord Superspeciality Hospital, Faridabad",Private,NBEMS,2017,4,380
Karnataka,"Dharwad Institute of Mental Health & Neurosciences, Dharwad",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",1845,10,375
Kerala,"Dr. Chandrakanth Malabar Super speciality Eye Hospital, Kozhikode",Private,NBEMS,2000,4,50
Punjab,"District Hospital, Mohali",Govt,NBEMS,2006,4,300
Rajasthan,"Dr. Kothari's Eye Hospital, Udaipur",Private,NBEMS,1979,1,25
Karnataka,"Anugraha Eye Hospital, Vijayapura",Private,NBEMS,2004,2,30
Kerala,"Comtrust Eye Hospital, Calicut",Private,NBEMS,1998,4,45
Maharashtra,"Daga Memorial Women Government Hospital, Nagpur",Govt,NBEMS,1956,13,300
Maharashtra,"BKL Walawalkar Rural Medical College, Ratnagiri",Private,"Maharashtra University of Health Sciences, Nashik",2015,41,500
Tamil Nadu,"Abirami Kidney Care Dr. Thangavelu Hospital, Erode",Private,NBEMS,1985,0,100
Punjab,"Adesh Institute of Medical Sciences & Research, Bhatinda",Private,"Adesh University, Bathinda",2006,76,650
Telangana,"Arundathi Institute of Medical Sciences, Medchal",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,300
Chhattisgarh,"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Govt,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2014,13,535
Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram",Deemed,"Chettinad Academy of Research & Education (Deemed), Chettinad",2006,256,1200
Rajasthan,"CKS Hospital, Jaipur",Private,NBEMS,2016,2,200
Andhra Pradesh,"Balaji Instt. of Surgery, Research & Rehabilitation for the Disabled (BIRRD), Tirupati",Private,NBEMS,1994,4,500
Haryana,"Civil Hospital, Palwal",Govt,NBEMS,1954,3,200
Telangana,"Continental Hospital, Hyderabad",Private,NBEMS,2013,16,587
Tripura,"Agartala Government Medical College, Agartala",Govt,"Tripura University, Agartala",2005,89,727
Andhra Pradesh,"Amara Hospital, Tirupati",Private,NBEMS,2021,3,100
Tamil Nadu,"Arokya Hospital, Salem",Private,NBEMS,2008,2,125
Tamil Nadu,"Billroth Hospital, Chennai",Private,NBEMS,1990,4,330
Rajasthan,"American International Institute of Medical Sciences, Bedwas",Private,"Rajasthan University of Health Sciences, Jaipur",2016,39,725
Andaman Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Govt,"Pondicherry University, Pondicherry",2015,7,540
Uttarakhand,"Brij Lal Hospital & Research Centre, Nainital",Private,NBEMS,2007,0,230
Gujarat,"CU Shah Medical College, Surendra Nagar",Private,"Saurashtra University, Rajkot",2000,59,0
Rajasthan,"District Hospital, Dholpur",Govt,NBEMS,1956,25,300
Kerala,"District Hospital, Palakkad",Govt,NBEMS,1956,7,467
Uttar Pradesh,"Fortis Hospital, Noida",Private,NBEMS,2004,14,278
Haryana,"Gaba Hospital, Yamuna Nagar",Private,NBEMS,1983,2,50
Madhya Pradesh,"Government Medical College, Chhindwara",Govt,"Madhya Pradesh Medical Science University, Jabalpur",2019,0,1300
Telangana,"Government Medical College, Jayashankar Bhupalpally",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,500
Kerala,"Dhanya Mission Hospital, Chalakudy",Private,NBEMS,1982,1,100
Rajasthan,"Anand Hospital & Eye Centre, Jaipur",Private,NBEMS,2001,2,50
Andhra Pradesh,"Ankura Hospital for Women & Children, Chittoor",Private,NBEMS,2011,1,50
Karnataka,"Arihant Hospital, Belagavi",Private,NBEMS,0,2,100
Tamil Nadu,"Arunai Medical College, Thiruvannamalai",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,330
Madhya Pradesh,"Baderia Metro Prime Multispecialty Hospital, Jabalpur",Private,NBEMS,2007,3,160
Gujarat,"BAPS Pramukh Swami Hospital, Surat",Private,NBEMS,2005,2,150
Tamil Nadu,"Coimbatore Medical College, Coimbatore",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",1966,121,1000
Maharashtra,"Datta Meghe Medical College, Nagpur",Deemed,"Datta Meghe Institute of Higher Education & Research (Deemed), Sawangi-Meghe (Wardha)",2020,54,480
Gujarat,"Apollo Hospital International, Gandhi Nagar",Private,NBEMS,1983,13,289
Uttar Pradesh,"Apollomedics Superspeciality Hospital, Lucknow",Private,NBEMS,2016,21,300
Tamil Nadu,"Arasan Eye Hospital, Erode",Private,NBEMS,1997,2,30
Karnataka,"Belagavi Institute of Medical Sciences, Belagavi",Govt,"KLE Academy of Higher Education & Research (Deemed), Belgaum",2006,68,1000
Jharkhand,"Alam Hospital & Research Centre, Ranchi",Private,NBEMS,1985,2,150
Maharashtra,"Anand Hospital, Vaijapur",Private,NBEMS,1984,0,250
Telangana,"CC Shroff Memorial Hospital, Hyderabad",Private,NBEMS,1987,5,170
Madhya Pradesh,"Choithram Netralaya, Indore",Private,NBEMS,1990,5,154
Tamil Nadu,"Aravind Eye Hospital, Chennai",Private,NBEMS,2017,9,250
Telangana,"Ayaan Institute of Medical Sciences, Moinabad",Private,"Dr. NTR University of Health Sciences, Vijayawada",2018,0,500
Haryana,"BPS Government Medical College for Women, Sonepat",Govt,"Pt. BD. Sharma University of Health Sciences, Rohtak",2012,75,550
Delhi,"Chacha Nehru Bal Chikitsalaya, Delhi",Govt,"Guru Gobind Singh Indraprastha University, Delhi",0,4,221
Telangana,"Chalmeda Anand Rao Institute of Medical Sciences, Karimnagar",Private,"Dr. NTR University of Health Sciences, Vijayawada",2003,128,750
Maharashtra,"Apollo Hospital, Navi Mumbai",Private,NBEMS,1983,19,500
Karnataka,"Command Hospital Air Force, Bangalore",AFMS,"Rajiv Gandhi University of Health Sciences, Bangalore",1968,34,716
Gujarat,"Aayush Multispeciality Hospital, Morbi",Private,NBEMS,2015,3,200
Jammu & Kashmir,"ASYM District Hospital, Budgam",Govt,NBEMS,2013,2,200
Maharashtra,"Bethany Hospital, Thane",Private,NBEMS,1997,2,190
West Bengal,"Chittaranjan Seva Sadan College of Obstetrics & Child Health, Bhowanipore",Govt,NBEMS,1978,4,200
Bihar,"Anup Institute of Orthopaedics & Rehabilitation, Patna",Private,NBEMS,1985,1,50
Karnataka,"Bangalore Medical College & Research Institute, Bangalore",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",1955,286,1993
West Bengal,"Bankura Sammilani Medical College, Bankura",Govt,"West Bengal University of Health Sciences, Kolkata",1956,82,0
Madhya Pradesh,"Bansal Hospital, Bhopal",Private,NBEMS,2014,13,301
Karnataka,"BGS Global Institute of Medical Sciences, Bangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2013,78,766
Punjab,"Civil Hospital, Pathankot",Govt,NBEMS,1954,4,200
Assam,"Central Hospital, Guwahati",Govt,NBEMS,1968,3,200
Rajasthan,"Central Hospital, Jaipur",Govt,NBEMS,1970,4,86
Punjab,"District Hospital, Nawanshahr",Govt,NBEMS,2006,1,250
Chhattisgarh,"District Hospital, Surajpur",Govt,NBEMS,2012,1,100
Jammu & Kashmir,"District Hospital, Udhampur",Govt,NBEMS,0,0,200
Karnataka,"Father Mullers Medical College, Mangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1999,117,1250
Uttar Pradesh,"District Women Hospital, Saharanpur",Govt,NBEMS,1975,1,110
Haryana,"Ahooja Eye & Dental Institute, Gurgaon",Private,NBEMS,1969,1,0
Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Private,"Dr. NTR University of Health Sciences, Vijayawada",2000,158,850
Odisha,"Ashwini Trauma Centre, Cuttack",Private,NBEMS,2006,2,150
Delhi,"Ayushman Hospital & Health Services, Dwarka",Private,NBEMS,1998,3,105
Uttar Pradesh,"BCM Hospital, Sitapur",Private,NBEMS,2004,4,100
Uttar Pradesh,"BRD Medical College, Gorakhpur",Govt,"Gorakhpur University, Gorakhpur",1972,123,700
Maharashtra,"Central India Institute of Medical Sciences, Nagpur",Private,NBEMS,1984,0,110
Karnataka,Chikkaballapura Institute of Medical Sciences,Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2021,0,330
Uttar Pradesh,"Apex Hospital, Varanasi",Private,NBEMS,2006,11,200
Chhattisgarh,"Apex Superspeciality Hospital & IVF Centre, Raigarh",Private,NBEMS,2014,5,110
Tamil Nadu,"Apollo First Med Hospital, Kilpauk, Chennai",Private,NBEMS,2002,1,102
Assam,"Apollo Hospital, Guwahati",Private,NBEMS,2019,12,214
Tamil Nadu,"Apollo Specialty Hospital, Ayanambakkam, Chennai",Private,NBEMS,2012,1,277
Karnataka,"Bidar Institute of Medical Sciences, Bidar",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2007,52,750
Madhya Pradesh,"Bundelkhand Medical College, Sagar",Govt,"Madhya Pradesh Medical Science University, Jabalpur",2009,71,750
Haryana,"Civil Hospital, Faridabad",Govt,NBEMS,0,3,0
Tamil Nadu,"Arvind Eye Hospital & PG Institute of Ophthalmology, Tirunelveli Junction",Private,NBEMS,1988,7,142
West Bengal,"Bhagirathi Neotia Woman & Child Care Centre, Rawdon St, Kolkata",Private,NBEMS,2015,2,50
West Bengal,"Chittaranjan Seva Sadan Hospital, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",1917,18,200
Karnataka,"Apollo Hospital, Bannerghatta Road, Bangalore",Private,NBEMS,2007,22,250
Telangana,"Asian Institute of Gastroenterology, Hyderabad",Private,NBEMS,2010,0,250
Telangana,"Asian Institute of Nephrology & Urology, Hyderabad",Private,NBEMS,2013,0,100
West Bengal,"Chandannagar Sub Division Hospital, Hooghly",Govt,NBEMS,1990,3,200
Andhra Pradesh,"Aayush NRI LEPL Healthcare, Vijayawada",Private,NBEMS,2006,2,200
Andhra Pradesh,"Area Hospital, Ramachandrapuram",Govt,NBEMS,1985,2,120
Punjab,"Aykai Hospital, Ludhiana",Private,NBEMS,2018,0,100
Tamil Nadu,"Christian Medical College, Vellore",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",1942,241,3000
Punjab,"Civil Hospital, Hoshiarpur",Govt,NBEMS,1921,2,250
Kerala,"Credence Hospital, Trivandrum",Private,NBEMS,2001,1,100
Karnataka,"Amar Hospital, Gangavathi",Private,NBEMS,2001,2,100
Punjab,"Amar Hospital, Patiala",Private,NBEMS,1997,5,158
Tamil Nadu,"Aravind Eye Hospital, Salem",Private,NBEMS,2011,3,75
Karnataka,"Chitradurga Medical College & Research Institute, Chitradurga",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2023,0,500
Tamil Nadu,"Bejan Singh Eye Hospital, Kanyakumari",Private,NBEMS,1992,1,25
Delhi,"Dharamshila Narayana Superspeciality Hospital, Delhi",Private,NBEMS,1994,5,191
Andhra Pradesh,"District Hospital, Nellore",Govt,NBEMS,1967,1,500
Uttarakhand,"Gautam Buddha Chikitsa Mahavidyalaya, Dehradun",Private,"Ras Bihari Bose Subharti University, Dehradun",2022,0,0
Karnataka,"Gleneagles BGS Hospital, Kengeri",Private,NBEMS,1999,4,450
Rajasthan,"Global Hospital Institute of Ophthalmology, Abu Road",Private,NBEMS,2007,2,50
Manipur,"Government Medical College, Churachandpur",Govt,"Manipur University, Imphal",2023,0,300
Maharashtra,"Ashwani Sahakari Rugnalaya, Solapur",Private,NBEMS,1983,2,300
Karnataka,"Basaveswara Medical College & Hospital, Chitradurga",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1999,48,665
Punjab,"Civil Hospital, Gurdaspur",Govt,NBEMS,1962,8,110
Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas",Private,"Amaltas University, Dewas",2016,59,300
Maharashtra,"Anil Kulkarni Eye Hospital, Miraj",Private,NBEMS,1995,2,50
Karnataka,"Aralaguppe Mallegowda District Hospital, Chikkamagaluru",Govt,NBEMS,1963,4,250
Haryana,"Asian Institute of Medical Sciences, Faridabad",Private,NBEMS,2010,15,425
West Bengal,"BR Singh Hospital & Centre for Medical Education & Research, Kolkata",Govt,NBEMS,1934,15,525
Karnataka,"Cauvery Heart & Multispeciality Hospital, Mysore",Private,NBEMS,2009,6,200
Kerala,"Chaithanya Eye Hospital & Research Institute, Thiruvalla",Private,NBEMS,1999,2,100
Karnataka,"Chamrajanagar Institute of Medical Sciences, Karnataka",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2016,37,450
Gujarat,"Aadicura Superspeciality Hospital, Vadodara",Private,NBEMS,2021,0,50
Andhra Pradesh,"Alluri Sitarama Raju Academy of Medical Sciences, Eluru",Private,NBEMS,2000,0,1100
Kerala,"Aster Medcity, Kochi",Private,NBEMS,2013,15,670
West Bengal,"Bolpur Sub Division Hospital, Bolpur",Govt,NBEMS,1974,6,200
Tamil Nadu,"Chettinad Hospital & Research Institute, Kelambakkam",Private,"Chettinad Academy of Research & Education (Deemed), Chettinad",2006,0,1180
Madhya Pradesh,"Chirayu Medical College & Hospital, Bhopal",Private,"Barkatullah University, Bhopal",2011,98,800
Rajasthan,"Ananta Institute of Medical Sciences & Research Centre, Rajsamand",Private,"Rajasthan University of Health Sciences, Jaipur",2016,102,720
Tamil Nadu,"Arunai Medical College & Hospital, Tiruvannamalai",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,28,300
West Bengal,"Burnpur Hospital, Asansol",Govt,NBEMS,1930,4,360
Tamil Nadu,"Acchutha Eye Care, Erode",Private,NBEMS,2001,2,20
Maharashtra,"All India Institute of Physical Medicine & Rehabilitation, Mumbai",Govt,"Maharashtra University of Health Sciences, Nashik",1955,4,60
Kerala,"Ananthapuri Hospital & Research Institute, Thiruvananthapuram",Private,NBEMS,2005,13,400
Gujarat,Ananya College of Medicine & Research,Private,"Gujarat University, Ahmedabad",2023,0,340
Telangana,"Ankura Hospital for Women & Children, LB Nagar, Hyderabad",Private,NBEMS,2014,1,100
Tamil Nadu,"Apollo Specialty Hospital, 320 Mount Road, Chennai",Private,NBEMS,1983,4,290
Kerala,"Baby Memorial Hospital, Kozhikode",Private,NBEMS,1987,30,500
Rajasthan,"District Hospital, Sirohi",Govt,NBEMS,1964,4,300
Rajasthan,"District Hospital, Baran",Govt,NBEMS,1992,10,300
Tamil Nadu,"ESIC Medical College & Hospital (ESIC Medical College & PGIMSR), KK Nagar, Chennai",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2013,77,500
Maharashtra,"Government Medical College, Aurangabad",Govt,"Maharashtra University of Health Sciences, Nashik",1956,200,1170
Chhattisgarh,"District Hospital, Bilaspur",Govt,NBEMS,1966,1,400
Assam,"Gauhati Medical College, Guwahati",Govt,"Srimanta Shankardeva University of Health Sciences, Guwahati",1960,190,0
Maharashtra,"Government Medical College, Chandrapur",Govt,"Maharashtra University of Health Sciences, Nashik",2015,65,681
Karnataka,"District Hospital, Haveri",Govt,NBEMS,2000,8,250
Gujarat,"Dr. MK Shah Medical College & Research Centre, Ahmedabad",Private,"Gujarat University, Ahmedabad",2017,69,700
Telangana,"Government Medical College, Khammam",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,1200
Maharashtra,"Dr. Vaishampayan Memorial Medical College, Solapur",Govt,"Maharashtra University of Health Sciences, Nashik",1963,91,733
West Bengal,"Ghatal SD Hospital, Medinipur",Govt,NBEMS,1969,3,100
Uttarakhand,"Government Medical College (formerly Uttarakhand Forest Hospital Trust), Haldwani",Govt,"Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun",2001,69,695
West Bengal,"Fortis Hospital, Kolkata",Private,NBEMS,2003,12,300
Punjab,"Fortis Hospital, Ludhiana",Private,NBEMS,2013,4,0
Jammu & Kashmir,"Government Medical College, Anantnag",Govt,"Kashmir University, Srinagar",2019,63,500
Maharashtra,"Dr. B Nanavati Hospital, Mumbai",Private,NBEMS,1951,18,350
