Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
1,1279,Uttar Pradesh,"GSVM Med Coll, Kanpur",GENERAL MEDICINE,AIQ,GEN,"?24,000","?1,10,646",2,"?40,00,000",2083,
1,1280,Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,AIQ,GEN,"? 1,550","?1,00,770",3,"?30,00,000",1754,
1,1281,Uttar Pradesh,"SN Med Coll, Agra",GENERAL MEDICINE,AIQ,GEN,"?24,000","?1,10,646",2,"?40,00,000",976,
1,1282,Delhi,"VMMC, Delhi",PAEDIATRICS,AIQ,GEN,"?15,000","?1,20,965",1,"? 2,000,000",1550,
1,1283,Gujarat,"BJMC, Ahmedabad",GENERAL SURGERY,AIQ,GEN,"?30,000","? 100,800",1,"?40,00,000",1557,
1,1284,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,AIQ,OBC,"?1,57,100","? 93,559",1,"? 5,000,000",1866,
1,1285,Bihar,"Patna Med Coll, Patna",GENERAL MEDICINE,AIQ,GEN,"?9,000","? 82,000",2,"?25,00,000",1748,
1,1286,Rajasthan,"Govt Med Coll, Kota",DERMATOLOGY,AIQ,GEN,"?14,093","?87,216",2,"? 15,000,000",2581,
1,1287,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,AIQ,OBC,"?30,000","? 60,823",0,?0,1030,
1,1288,Tamil Nadu,"Stanley Med Coll, Chennai",DERMATOLOGY,AIQ,OBC,"?50,000","?54,025",2,"?40,00,000",1661,
1,1289,Tamil Nadu,Thanjavur Med Coll,GENERAL MEDICINE,AIQ,OBC,"?50,000","?54,025",2,"?40,00,000",1466,
1,1290,Madhya Pradesh,"Gajra Raja Med Coll, Gwalior",GENERAL MEDICINE,AIQ,GEN,"?1,01,500","? 75,444",1,"?10,00,000",1100,
1,1291,Odisha,"SCB, Cuttack",GENERAL MEDICINE,AIQ,EWS,"?35,000","? 73,042",2,"?55,09,464",2106,
1,1292,Tamil Nadu,Chengalpattu Med Coll,GENERAL MEDICINE,AIQ,GEN,"?50,000","?54,025",2,"?40,00,000",700,
1,1293,Madhya Pradesh,"Gajra Raja Med Coll, Gwalior",GENERAL MEDICINE,AIQ,GEN,"?1,01,500","? 75,444",1,"?10,00,000",1100,
1,1294,Tamil Nadu,"Kilpauk Med Coll, Chennai",GENERAL MEDICINE,AIQ,OBC,"?50,000","?54,025",2,"?40,00,000",1700,
